node,degree,weighted_strength,degree_centrality,betweenness_centrality,closeness_centrality
864691135780845904_0,47,46.99999994560406,0.19831223628691982,0.003845688051936173,0.3314358855613872
864691135785249220_0,40,39.99999995075987,0.16877637130801687,0.0023124849745500085,0.3294271832246516
864691135785699268_0,57,56.99999993303471,0.24050632911392403,0.004418864996101521,0.37878386921301405
864691135799774562_0,56,55.999999932266526,0.2362869198312236,0.013075081221264042,0.3768144556815772
864691135800047458_0,52,51.999999938551895,0.21940928270042193,0.006412112774036617,0.36236990154711674
864691135807561757_0,73,72.999999925461,0.30801687763713076,0.01582975903597145,0.37878386921301405
864691135809428684_0,65,64.9999999252475,0.2742616033755274,0.01905819193611862,0.37746864744491326
864691135809503692_0,16,15.999999980576767,0.06751054852320675,0.001629679169506348,0.23840125101783993
864691135815445071_0,14,13.999999981983553,0.0590717299578059,0.0015797779953097206,0.2376196075718798
864691135837208723_0,12,11.999999984073067,0.050632911392405056,0.01807919543061947,0.20946237083648364
864691135847916126_0,0,0,0.0,0.0,0.0
864691135850857927_0,42,41.99999994774121,0.1772151898734177,0.002523995494143535,0.36236990154711674
864691135855651886_0,43,42.99999995273667,0.18143459915611812,0.007374103929725803,0.30927729861773834
864691135856009774_0,0,0,0.0,0.0,0.0
864691135856036910_0,6,5.999999992955688,0.025316455696202528,0.00016508252662969598,0.15963431786216595
864691135864988636_0,22,21.99999997511442,0.09282700421940927,0.00601552850411639,0.2667753876420491
864691135866414102_0,61,60.99999992386302,0.2573839662447257,0.010915970176153195,0.37878386921301405
864691135876034899_0,34,33.99999995119595,0.14345991561181434,0.013585767891112259,0.31149275204623217
864691135909764777_0,63,62.99999993274949,0.26582278481012656,0.02132678762864983,0.38756139202900186
864691135909858985_0,13,12.999999984792838,0.05485232067510548,0.0013253961490307753,0.22766695385159164
864691135915193190_0,29,28.999999961060837,0.12236286919831223,0.0003359944835555757,0.29341692432964916
864691135925546254_0,40,39.9999999448002,0.16877637130801687,0.0011498256613542846,0.3629748596465276
864691135925552398_0,8,7.999999990704072,0.03375527426160337,1.2834462255187422e-05,0.22460944310771697
864691135926628308_0,8,7.999999987509305,0.03375527426160337,0.0,0.26776101099540645
864691135937150212_0,2,1.999999996852583,0.008438818565400843,0.0,0.19552332817290471
864691135939360001_0,7,6.999999988605709,0.02953586497890295,0.0,0.20726591127575789
864691135939364609_0,20,19.999999971942557,0.08438818565400844,6.11452956823225e-05,0.2801829135673583
864691135939391233_0,53,52.99999993253414,0.22362869198312235,0.0057277074850657925,0.37357721808981104
864691135939396865_0,7,6.999999992133568,0.02953586497890295,0.0006970456152358451,0.18759442703043144
864691135939629478_0,62,61.99999993107845,0.26160337552742613,0.01522823233361776,0.39104665634580943
864691135939636390_0,17,16.999999980986715,0.07172995780590717,0.0017477686549453367,0.23866294284113065
864691135939841190_0,25,24.999999969276296,0.10548523206751054,0.033991840369165215,0.28273334320971394
864691135952244003_0,14,13.999999980625322,0.0590717299578059,0.0007703016684188434,0.285330631139462
864691135954127368_0,56,55.999999941152296,0.2362869198312236,0.02151517637122322,0.3666474551910119
864691135968885605_0,63,62.99999993760216,0.26582278481012656,0.022215914665122814,0.38756139202900186
864691135968915045_0,48,47.99999994732624,0.20253164556962022,0.011760053357418835,0.33295856191159273
864691135968938341_0,22,21.99999996686532,0.09282700421940927,0.0002580537058597404,0.33449529373580006
864691135974431599_0,49,48.99999994139028,0.20675105485232065,0.008418971814866455,0.3370882805089458
864691135994565802_0,35,34.99999995306908,0.14767932489451477,0.0021968724481904634,0.305367894562177
864691135994850474_0,5,4.999999992606657,0.02109704641350211,0.008124235891882322,0.1680231382753246
864691136008855470_0,27,26.999999968253448,0.11392405063291139,0.031686673447632416,0.28495667225199217
864691136031664827_0,57,56.99999992804812,0.24050632911392403,0.011964412925037943,0.36419085582624794
864691136031681723_0,46,45.99999993458576,0.1940928270042194,0.004057927694040311,0.3629748596465276
864691136031894459_0,0,0,0.0,0.0,0.0
864691136040983638_0,3,2.999999994537463,0.012658227848101264,0.0,0.20415205720964325
864691136041042006_0,16,15.999999979156318,0.06751054852320675,0.0038808944091700123,0.25048610706021895
864691136041060182_0,10,9.999999983133051,0.04219409282700422,0.0020947227212535498,0.22460944310771697
864691136041079638_0,3,2.9999999950500973,0.012658227848101264,0.00024044594003918836,0.2274288085023745
864691136050872307_0,67,66.99999992729624,0.28270042194092826,0.026392569237565795,0.3967553666574271
864691136065275032_0,34,33.99999994876782,0.14345991561181434,0.002621016170783556,0.3225844820894214
864691136065854872_0,65,64.99999992369135,0.2742616033755274,0.023763550537780686,0.3945951740984937
864691136090902964_0,21,20.999999970088545,0.08860759493670885,0.0004977566055520445,0.29783827524420553
864691136109197752_0,57,56.99999993174981,0.24050632911392403,0.009683260615325274,0.37746864744491326
864691136109198008_0,13,12.999999982892911,0.05485232067510548,0.013680026236226892,0.24539722452400684
864691136118411544_0,66,65.99999992733218,0.27848101265822783,0.01188102828636843,0.3889480159718605
864691136118756376_0,27,26.99999996432273,0.11392405063291139,0.022863123576915678,0.27946264900805917
864691136136620157_0,0,0,0.0,0.0,0.0
864691136175063814_0,51,50.99999993720778,0.2151898734177215,0.0021507546213445877,0.3570146813272086
864691136175068934_0,9,8.999999988498017,0.03797468354430379,0.005506858529269542,0.1722836298956181
864691136236698639_0,18,17.999999975296515,0.07594936708860758,0.00866106042207618,0.27143812849971294
864691136236737551_0,9,8.99999998594452,0.03797468354430379,3.787309596192149e-05,0.2958121645282586
864691136291467742_0,29,28.999999962033424,0.12236286919831223,0.023214465815267274,0.29541024582645387
864691136296660251_0,7,6.999999991486918,0.02953586497890295,0.004571333976868966,0.2002043654956446
864691136297111579_0,68,67.9999999324575,0.2869198312236287,0.010215720833049242,0.3834602132773722
864691136312167229_0,0,0,0.0,0.0,0.0
864691136370806152_0,3,2.9999999947752225,0.012658227848101264,0.0,0.2857055728360973
864691136370829960_0,2,1.999999996228231,0.008438818565400843,0.0,0.20589198951540724
864691136371129992_0,60,59.99999992940498,0.2531645569620253,0.024151792956127866,0.3868717810111566
864691136388573456_0,45,44.99999994529352,0.18987341772151897,0.021548215842492887,0.33295856191159273
864691136390716287_0,33,32.999999958372285,0.13924050632911392,0.0028007017005828557,0.3279365624860785
864691136444103811_0,59,58.999999931849004,0.24894514767932488,0.003101951143535197,0.35410739564864824
864691136486763538_0,42,41.99999993916241,0.1772151898734177,0.0005705426708625257,0.3512470774285461
864691136577471252_0,39,38.99999995050205,0.16455696202531644,0.0004504420219002833,0.3314358855613872
864691136601556433_0,36,35.99999996194626,0.15189873417721517,0.029881399377727495,0.30622808581446487
864691136617110235_0,48,47.99999994413629,0.20253164556962022,0.006875281455227629,0.3279365624860785
864691136617114587_0,37,36.9999999533254,0.1561181434599156,0.005836146777615641,0.3197381484239265
864691136617138395_0,21,20.999999972331864,0.08860759493670885,0.04801191727226665,0.24763319012331442
864691136618393229_0,55,54.999999936985226,0.23206751054852318,0.010069199655675518,0.351815438395259
864691136618490765_0,68,67.9999999203564,0.2869198312236287,0.015270617860480503,0.3917512449158018
864691136662225630_0,20,19.999999975448084,0.08438818565400844,0.025973369971802874,0.25370121461875145
864691136662383582_0,9,8.999999985978386,0.03797468354430379,6.433739557792237e-05,0.27626676102702674
864691136723482109_0,74,73.99999990995639,0.3122362869198312,0.030947187395915347,0.3974806963953748
864691136723522813_0,62,61.99999993171884,0.26160337552742613,0.01387128930517038,0.35760187652675995
864691136723533821_0,6,5.999999991062516,0.025316455696202528,0.006720167385849334,0.2405109966020686
864691136723542269_0,69,68.99999991720631,0.2911392405063291,0.011613493445190087,0.38825346594333937
864691136723548157_0,55,54.99999993351294,0.23206751054852318,0.004546381426765834,0.3529576963121267
864691136731621230_0,49,48.99999994683306,0.20675105485232065,0.011472918215158287,0.33761170951594727
864691136811786099_0,33,32.99999994796527,0.13924050632911392,0.0002741281698312681,0.345114191949635
864691136911639793_0,17,16.999999973199735,0.07172995780590717,5.444930566503465e-05,0.29381343368685137
864691136912016113_0,0,0,0.0,0.0,0.0
864691136951545567_0,62,61.99999993204328,0.26160337552742613,0.02075088970051286,0.3564294113578197
864691136989991317_0,33,32.99999995718753,0.13924050632911392,0.021598887970868258,0.2966192918530287
